t_s,route,status,latency_ms,backend,ok
0.003,message,201,41.400,backend-3,true
0.004,message,201,40.410,backend-3,true
0.004,message,201,40.220,backend-2,true
0.003,message,201,40.700,backend-2,true
0.004,message,201,40.510,backend-3,true
0.003,message,201,40.770,backend-2,true
0.004,message,201,40.300,backend-3,true
0.004,message,201,40.610,backend-1,true
0.003,message,201,41.390,backend-3,true
0.003,message,201,41.570,backend-3,true
0.004,message,201,40.730,backend-2,true
0.003,message,201,41.360,backend-3,true
0.003,message,201,40.900,backend-2,true
0.003,message,201,41.390,backend-1,true
0.003,message,201,41.290,backend-2,true
0.003,message,201,41.390,backend-1,true
0.003,message,201,41.210,backend-1,true
0.003,message,201,41.110,backend-1,true
0.000,message,201,44.820,backend-1,true
0.003,message,201,41.940,backend-1,true
0.004,message,201,40.750,backend-1,true
0.004,message,201,40.850,backend-3,true
0.003,message,201,41.250,backend-3,true
0.004,message,201,40.730,backend-1,true
0.004,message,201,40.960,backend-1,true
0.003,message,201,41.150,backend-1,true
0.004,message,201,40.900,backend-3,true
0.004,message,201,40.910,backend-3,true
0.004,message,201,41.000,backend-1,true
0.004,message,201,40.870,backend-1,true
0.003,message,201,41.940,backend-1,true
0.004,message,201,40.990,backend-3,true
0.003,message,201,41.350,backend-1,true
0.004,message,201,41.030,backend-3,true
0.003,message,201,41.980,backend-1,true
0.004,message,201,41.260,backend-3,true
0.003,message,201,41.310,backend-3,true
0.004,message,201,41.050,backend-1,true
0.004,message,201,41.230,backend-1,true
0.003,message,201,41.960,backend-3,true
0.003,message,201,40.810,backend-3,true
0.004,message,201,42.840,backend-1,true
0.003,message,201,44.270,backend-3,true
0.003,message,201,44.250,backend-3,true
0.007,message,201,40.200,backend-1,true
0.007,message,201,39.670,backend-3,true
0.005,message,201,42.170,backend-1,true
0.003,message,201,44.220,backend-1,true
0.000,message,201,47.220,backend-1,true
0.007,message,201,40.530,backend-3,true
0.005,message,201,42.340,backend-1,true
0.007,message,201,40.530,backend-3,true
0.007,message,201,40.300,backend-3,true
0.007,message,201,40.140,backend-1,true
0.004,message,201,43.330,backend-3,true
0.000,message,201,46.870,backend-3,true
0.004,message,201,43.350,backend-1,true
0.004,message,201,43.390,backend-3,true
0.003,message,201,44.860,backend-3,true
0.007,message,201,40.720,backend-1,true
0.007,message,201,40.710,backend-1,true
0.004,message,201,43.650,backend-2,true
0.004,message,201,43.480,backend-3,true
0.004,message,201,43.680,backend-1,true
0.003,message,201,44.810,backend-1,true
0.000,message,201,47.700,backend-2,true
0.007,message,201,40.930,backend-3,true
0.004,message,201,43.760,backend-1,true
0.003,message,201,44.440,backend-2,true
0.004,message,201,43.780,backend-1,true
0.004,message,201,43.610,backend-3,true
0.003,message,201,44.940,backend-1,true
0.004,message,201,43.500,backend-1,true
0.007,message,201,41.090,backend-3,true
0.004,message,201,44.130,backend-1,true
0.003,message,201,44.440,backend-3,true
0.007,message,201,40.660,backend-3,true
0.003,message,201,44.560,backend-1,true
0.007,message,201,41.220,backend-1,true
0.004,message,201,44.170,backend-2,true
0.003,message,201,44.550,backend-1,true
0.003,message,201,44.960,backend-2,true
0.007,message,201,40.920,backend-3,true
0.003,message,201,45.190,backend-1,true
0.007,message,201,40.660,backend-3,true
0.004,message,201,43.330,backend-1,true
0.005,message,201,42.720,backend-3,true
0.007,message,201,40.870,backend-3,true
0.003,message,201,44.670,backend-1,true
0.003,message,201,44.590,backend-2,true
0.003,message,201,44.500,backend-1,true
0.005,message,201,42.550,backend-1,true
0.007,message,201,40.790,backend-3,true
0.004,message,201,44.020,backend-2,true
0.003,message,201,45.260,backend-1,true
0.007,message,201,41.080,backend-1,true
0.007,message,201,41.160,backend-1,true
0.004,message,201,43.840,backend-3,true
0.003,message,201,44.430,backend-2,true
0.004,message,201,43.750,backend-3,true
0.004,message,201,44.010,backend-2,true
0.000,message,201,48.230,backend-3,true
0.003,message,201,44.620,backend-1,true
0.003,message,201,44.970,backend-3,true
0.004,message,201,44.020,backend-3,true
0.004,message,201,44.010,backend-1,true
0.003,message,201,44.860,backend-2,true
0.003,message,201,47.720,backend-2,true
0.000,message,201,51.610,backend-2,true
0.004,message,201,47.430,backend-2,true
0.004,message,201,47.350,backend-2,true
0.004,message,201,47.250,backend-2,true
0.003,message,201,48.370,backend-2,true
0.004,message,201,47.850,backend-2,true
0.007,message,201,44.820,backend-2,true
0.004,message,201,47.820,backend-2,true
0.003,message,201,48.700,backend-2,true
0.004,message,201,47.940,backend-2,true
0.007,message,201,45.060,backend-2,true
0.007,message,201,45.180,backend-2,true
0.004,message,201,47.880,backend-2,true
0.000,message,201,52.280,backend-2,true
0.007,message,201,45.030,backend-2,true
0.004,message,201,48.130,backend-2,true
0.003,message,201,49.320,backend-2,true
0.007,message,201,45.100,backend-2,true
0.007,message,201,45.380,backend-2,true
0.004,message,201,48.100,backend-2,true
0.006,message,201,45.760,backend-2,true
0.004,message,201,48.530,backend-2,true
0.007,message,201,45.750,backend-2,true
0.005,message,201,47.630,backend-2,true
0.007,message,201,45.920,backend-2,true
0.004,message,201,48.210,backend-2,true
0.005,message,201,47.650,backend-2,true
0.003,message,201,49.680,backend-2,true
0.003,message,201,49.910,backend-2,true
0.003,message,201,49.940,backend-2,true
0.004,message,201,49.530,backend-2,true
0.012,message,201,41.880,backend-2,true
0.003,message,201,50.840,backend-2,true
0.003,message,201,51.260,backend-2,true
0.003,message,201,51.110,backend-2,true
0.003,message,201,50.830,backend-2,true
0.006,message,201,47.630,backend-2,true
0.007,message,201,47.030,backend-2,true
0.005,message,201,51.000,backend-1,true
0.002,message,201,53.940,backend-1,true
0.003,message,201,53.050,backend-1,true
0.000,message,201,55.500,backend-1,true
0.005,message,201,50.340,backend-1,true
0.006,message,201,49.160,backend-2,true
0.010,message,201,45.540,backend-2,true
0.004,message,201,53.100,backend-3,true
0.003,message,201,53.670,backend-3,true
0.005,message,201,51.380,backend-3,true
0.003,message,201,53.590,backend-3,true
0.004,message,201,53.290,backend-3,true
0.003,message,201,53.830,backend-3,true
0.003,message,201,54.200,backend-3,true
0.011,message,201,45.950,backend-3,true
0.011,message,201,46.030,backend-3,true
0.011,message,201,46.250,backend-3,true
0.000,message,201,57.350,backend-3,true
0.012,message,201,45.190,backend-3,true
0.013,message,201,44.570,backend-3,true
0.013,message,201,44.660,backend-3,true
0.013,message,201,44.190,backend-3,true
0.012,message,201,44.910,backend-3,true
0.011,message,201,46.670,backend-3,true
0.004,message,201,53.840,backend-3,true
0.012,message,201,45.480,backend-2,true
0.012,message,201,45.410,backend-3,true
0.012,message,201,45.300,backend-2,true
0.012,message,201,45.360,backend-3,true
0.011,message,201,46.440,backend-2,true
0.003,message,201,54.450,backend-3,true
0.016,message,201,41.310,backend-2,true
0.012,message,201,45.490,backend-2,true
0.003,message,201,54.330,backend-2,true
0.004,message,201,53.770,backend-2,true
0.044,message,201,13.580,backend-2,true
0.044,message,201,14.060,backend-2,true
0.013,message,201,45.120,backend-2,true
0.003,message,201,54.920,backend-1,true
0.010,message,201,48.050,backend-2,true
0.004,message,201,54.730,backend-1,true
0.011,message,201,47.350,backend-1,true
0.012,message,201,46.940,backend-1,true
0.012,message,201,46.590,backend-1,true
0.011,message,201,47.500,backend-1,true
0.011,message,201,47.580,backend-1,true
0.013,message,201,45.180,backend-1,true
0.010,message,201,48.110,backend-1,true
0.013,message,201,45.970,backend-1,true
0.003,message,201,55.130,backend-1,true
0.012,message,201,46.580,backend-1,true
0.012,message,201,46.900,backend-1,true
0.013,message,201,46.080,backend-1,true
0.016,message,201,43.320,backend-1,true
0.013,message,201,45.860,backend-1,true
0.014,message,201,46.310,backend-1,true
0.006,message,201,54.270,backend-1,true
0.015,message,201,45.220,backend-1,true
0.012,message,201,49.000,backend-1,true
0.048,message,201,15.360,backend-2,true
0.048,message,201,15.560,backend-2,true
0.014,message,201,49.100,backend-3,true
0.051,message,201,11.970,backend-2,true
0.048,message,201,15.760,backend-2,true
0.048,message,201,15.680,backend-2,true
0.048,message,201,15.690,backend-2,true
0.048,message,201,15.820,backend-2,true
0.004,message,201,59.010,backend-3,true
0.048,message,201,15.690,backend-2,true
0.048,message,201,15.650,backend-2,true
0.045,message,201,18.990,backend-3,true
0.047,message,201,16.080,backend-2,true
0.045,message,201,18.970,backend-3,true
0.045,message,201,18.930,backend-3,true
0.051,message,201,12.290,backend-2,true
0.051,message,201,13.010,backend-2,true
0.052,message,201,12.100,backend-2,true
0.054,message,201,10.550,backend-2,true
0.013,message,201,51.420,backend-3,true
0.052,message,201,12.270,backend-2,true
0.052,message,201,12.490,backend-2,true
0.052,message,201,12.330,backend-2,true
0.010,message,201,54.240,backend-2,true
0.052,message,201,12.450,backend-2,true
0.044,message,201,20.400,backend-3,true
0.051,message,201,13.410,backend-2,true
0.013,message,201,51.290,backend-3,true
0.045,message,201,20.030,backend-3,true
0.052,message,201,12.710,backend-2,true
0.052,message,201,12.690,backend-2,true
0.052,message,201,12.790,backend-2,true
0.052,message,201,12.620,backend-2,true
0.045,message,201,19.770,backend-3,true
0.052,message,201,12.790,backend-2,true
0.053,message,201,12.020,backend-2,true
0.045,message,201,20.570,backend-3,true
0.056,message,201,9.970,backend-2,true
0.053,message,201,12.900,backend-2,true
0.053,message,201,13.070,backend-2,true
0.053,message,201,13.110,backend-2,true
0.048,message,201,18.000,backend-3,true
0.045,message,201,20.890,backend-3,true
0.044,message,201,21.550,backend-3,true
0.054,message,201,11.820,backend-2,true
0.047,message,201,18.450,backend-3,true
0.045,message,201,20.930,backend-3,true
0.048,message,201,18.100,backend-3,true
0.044,message,201,21.470,backend-3,true
0.056,message,201,10.230,backend-2,true
0.044,message,201,21.580,backend-3,true
0.013,message,201,52.630,backend-3,true
0.054,message,201,11.920,backend-2,true
0.044,message,201,21.420,backend-3,true
0.047,message,201,18.700,backend-3,true
0.044,message,201,21.370,backend-3,true
0.053,message,201,13.190,backend-2,true
0.054,message,201,12.140,backend-2,true
0.045,message,201,20.950,backend-3,true
0.054,message,201,12.040,backend-2,true
0.012,message,201,54.100,backend-3,true
0.045,message,201,21.250,backend-3,true
0.048,message,201,18.100,backend-3,true
0.056,message,201,10.400,backend-2,true
0.003,message,201,63.430,backend-3,true
0.048,message,201,18.690,backend-3,true
0.056,message,201,10.950,backend-2,true
0.044,message,201,22.180,backend-2,true
0.048,message,201,18.790,backend-3,true
0.048,message,201,18.800,backend-3,true
0.048,message,201,18.910,backend-3,true
0.005,message,201,61.530,backend-3,true
0.044,message,201,22.210,backend-3,true
0.051,message,201,15.420,backend-2,true
0.058,message,201,13.960,backend-3,true
0.057,message,201,15.480,backend-1,true
0.057,message,201,15.080,backend-3,true
0.057,message,201,15.160,backend-3,true
0.058,message,201,15.030,backend-3,true
0.052,message,201,20.500,backend-1,true
0.048,message,201,25.060,backend-1,true
0.048,message,201,24.900,backend-1,true
0.048,message,201,25.010,backend-1,true
0.058,message,201,15.370,backend-3,true
0.057,message,201,15.940,backend-3,true
0.005,message,201,67.650,backend-1,true
0.058,message,201,15.350,backend-3,true
0.053,message,201,20.280,backend-1,true
0.058,message,201,15.110,backend-3,true
0.047,message,201,25.830,backend-1,true
0.003,message,201,70.500,backend-1,true
0.048,message,201,25.450,backend-1,true
0.058,message,201,15.660,backend-3,true
0.047,message,201,25.960,backend-1,true
0.047,message,201,26.090,backend-1,true
0.059,message,201,14.900,backend-3,true
0.048,message,201,25.740,backend-1,true
0.048,message,201,25.670,backend-1,true
0.004,message,201,69.030,backend-3,true
0.057,message,201,16.200,backend-3,true
0.003,message,201,70.830,backend-3,true
0.047,message,201,26.140,backend-1,true
0.000,message,201,73.580,backend-3,true
0.048,message,201,25.620,backend-1,true
0.010,message,201,63.360,backend-3,true
0.047,message,201,26.350,backend-1,true
0.010,message,201,63.280,backend-3,true
0.047,message,201,26.500,backend-1,true
0.010,message,201,63.160,backend-3,true
0.015,message,201,58.250,backend-1,true
0.059,message,201,15.070,backend-3,true
0.045,message,201,28.850,backend-1,true
0.048,message,201,25.760,backend-1,true
0.013,message,201,60.560,backend-1,true
0.047,message,201,26.530,backend-1,true
0.044,message,201,29.170,backend-1,true
0.013,message,201,60.410,backend-1,true
0.044,message,201,29.220,backend-1,true
0.044,message,201,29.500,backend-1,true
0.047,message,201,26.620,backend-1,true
0.045,message,201,28.840,backend-1,true
0.013,message,201,60.520,backend-1,true
0.045,message,201,28.940,backend-1,true
0.044,message,201,29.790,backend-1,true
0.045,message,201,28.820,backend-1,true
0.045,message,201,29.290,backend-1,true
0.045,message,201,29.240,backend-1,true
0.012,message,201,61.800,backend-1,true
0.059,message,201,15.340,backend-3,true
0.057,message,201,17.600,backend-3,true
0.014,message,201,61.040,backend-1,true
0.061,message,201,14.400,backend-1,true
0.010,message,201,64.820,backend-1,true
0.000,message,201,74.940,backend-1,true
0.011,message,201,63.750,backend-1,true
0.059,message,201,16.000,backend-1,true
0.061,message,201,14.320,backend-1,true
0.059,message,201,16.160,backend-1,true
0.057,message,201,18.260,backend-1,true
0.059,message,201,16.520,backend-3,true
0.063,message,201,11.830,backend-1,true
0.012,message,201,63.030,backend-1,true
0.047,message,201,28.000,backend-1,true
0.014,message,201,60.950,backend-1,true
0.014,message,201,61.030,backend-3,true
0.014,message,201,61.190,backend-1,true
0.063,message,201,11.790,backend-1,true
0.012,message,201,63.510,backend-1,true
0.012,message,201,63.500,backend-1,true
0.013,message,201,62.490,backend-1,true
0.047,message,201,31.020,backend-1,true
0.014,message,201,64.300,backend-1,true
0.011,message,201,67.210,backend-1,true
0.014,message,201,64.360,backend-1,true
0.014,message,201,64.570,backend-1,true
0.066,message,201,13.050,backend-1,true
0.066,message,201,12.980,backend-1,true
0.067,message,201,12.210,backend-1,true
0.067,message,201,12.040,backend-1,true
0.047,message,201,31.560,backend-1,true
0.014,message,201,64.440,backend-1,true
0.003,message,201,76.110,backend-1,true
0.064,message,201,16.360,backend-3,true
0.065,message,201,15.230,backend-3,true
0.065,message,201,15.240,backend-3,true
0.065,message,201,15.300,backend-3,true
0.065,message,201,14.750,backend-3,true
0.064,message,201,16.370,backend-3,true
0.066,message,201,14.160,backend-3,true
0.066,message,201,14.190,backend-3,true
0.065,message,201,15.540,backend-3,true
