t_s,route,status,latency_ms,backend,ok
0.000,message,201,11.320,backend-3,true
0.001,message,201,11.270,backend-3,true
0.001,message,201,11.390,backend-3,true
0.001,message,201,11.450,backend-2,true
0.000,message,201,12.290,backend-3,true
0.000,message,201,11.860,backend-1,true
0.000,message,201,13.890,backend-1,true
0.000,message,201,13.410,backend-3,true
0.000,message,201,13.790,backend-2,true
0.000,message,201,13.850,backend-2,true
0.000,message,201,14.540,backend-1,true
0.000,message,201,14.660,backend-2,true
0.000,message,201,14.700,backend-1,true
0.000,message,201,14.770,backend-1,true
0.001,message,201,13.940,backend-2,true
0.000,message,201,14.280,backend-1,true
0.001,message,201,14.190,backend-2,true
0.000,message,201,14.530,backend-1,true
0.000,message,201,14.820,backend-2,true
0.000,message,201,14.970,backend-3,true
0.001,message,201,14.260,backend-2,true
0.000,message,201,14.720,backend-3,true
0.007,message,201,14.540,backend-3,true
0.001,message,201,20.500,backend-2,true
0.001,message,201,21.130,backend-3,true
0.001,message,201,20.960,backend-3,true
0.001,message,201,20.740,backend-3,true
0.003,message,201,21.900,backend-2,true
0.002,message,201,23.280,backend-3,true
0.001,message,201,24.160,backend-1,true
0.007,message,201,18.730,backend-1,true
0.006,message,201,19.010,backend-1,true
0.001,message,201,24.810,backend-3,true
0.002,message,201,23.160,backend-1,true
0.006,message,201,19.130,backend-2,true
0.011,message,201,14.070,backend-1,true
0.001,message,201,24.150,backend-3,true
0.001,message,201,24.220,backend-2,true
0.002,message,201,23.930,backend-1,true
0.003,message,201,22.910,backend-2,true
0.007,message,201,18.860,backend-3,true
0.011,message,201,14.160,backend-1,true
0.008,message,201,17.740,backend-3,true
0.002,message,201,24.010,backend-3,true
0.002,message,201,23.740,backend-3,true
0.012,message,201,14.220,backend-1,true
0.007,message,201,19.290,backend-2,true
0.000,message,201,26.040,backend-3,true
0.003,message,201,23.120,backend-2,true
0.001,message,201,24.510,backend-1,true
0.012,message,201,13.820,backend-1,true
0.007,message,201,19.220,backend-3,true
0.001,message,201,24.570,backend-3,true
0.002,message,201,24.300,backend-3,true
0.012,message,201,14.370,backend-3,true
0.012,message,201,13.950,backend-1,true
0.012,message,201,14.280,backend-3,true
0.009,message,201,17.250,backend-3,true
0.001,message,201,24.910,backend-3,true
0.012,message,201,14.570,backend-1,true
0.001,message,201,25.260,backend-2,true
0.006,message,201,20.150,backend-2,true
0.001,message,201,25.360,backend-3,true
0.000,message,201,26.200,backend-3,true
0.006,message,201,20.290,backend-3,true
0.001,message,201,26.040,backend-2,true
0.008,message,201,18.910,backend-3,true
0.001,message,201,26.350,backend-2,true
0.012,message,201,14.580,backend-2,true
0.002,message,201,24.930,backend-2,true
0.011,message,201,15.770,backend-2,true
0.002,message,201,25.450,backend-1,true
0.012,message,201,15.110,backend-3,true
0.001,message,201,26.410,backend-3,true
0.012,message,201,15.530,backend-2,true
0.001,message,201,26.610,backend-3,true
0.012,message,201,15.170,backend-2,true
0.002,message,201,25.650,backend-2,true
0.012,message,201,15.150,backend-2,true
0.012,message,201,15.520,backend-3,true
0.002,message,201,25.220,backend-2,true
0.001,message,201,26.130,backend-2,true
0.002,message,201,25.130,backend-3,true
0.008,message,201,19.450,backend-3,true
0.001,message,201,26.840,backend-1,true
0.007,message,201,20.840,backend-1,true
0.001,message,201,26.270,backend-1,true
0.006,message,201,21.300,backend-2,true
0.006,message,201,21.360,backend-1,true
0.001,message,201,26.430,backend-3,true
0.001,message,201,26.290,backend-1,true
0.012,message,201,15.920,backend-2,true
0.002,message,201,25.370,backend-3,true
0.001,message,201,26.270,backend-1,true
0.006,message,201,21.420,backend-2,true
0.002,message,201,25.780,backend-1,true
0.008,message,201,19.480,backend-2,true
0.001,message,201,26.360,backend-1,true
0.002,message,201,25.520,backend-2,true
0.007,message,201,20.880,backend-1,true
0.006,message,201,21.180,backend-1,true
0.012,message,201,15.560,backend-2,true
0.001,message,201,27.020,backend-2,true
0.006,message,201,21.420,backend-2,true
0.007,message,201,20.680,backend-2,true
0.000,message,201,27.280,backend-2,true
0.012,message,201,15.380,backend-3,true
0.007,message,201,20.500,backend-2,true
0.002,message,201,25.670,backend-1,true
0.000,message,201,27.360,backend-2,true
0.001,message,201,27.030,backend-1,true
0.001,message,201,26.660,backend-2,true
0.006,message,201,21.310,backend-2,true
0.001,message,201,26.710,backend-2,true
0.002,message,201,26.040,backend-1,true
0.002,message,201,25.550,backend-2,true
0.002,message,201,29.750,backend-3,true
0.001,message,201,33.020,backend-3,true
0.012,message,201,22.100,backend-3,true
0.001,message,201,33.220,backend-3,true
0.013,message,201,21.470,backend-3,true
0.001,message,201,33.070,backend-3,true
0.001,message,201,34.040,backend-3,true
0.001,message,201,34.210,backend-3,true
0.002,message,201,33.220,backend-3,true
0.013,message,201,22.280,backend-3,true
0.013,message,201,22.070,backend-3,true
0.002,message,201,33.260,backend-3,true
0.002,message,201,33.170,backend-3,true
0.012,message,201,23.100,backend-1,true
0.002,message,201,33.160,backend-1,true
0.012,message,201,23.410,backend-1,true
0.002,message,201,33.580,backend-3,true
0.001,message,201,34.240,backend-1,true
0.002,message,201,33.900,backend-1,true
0.013,message,201,22.680,backend-1,true
0.005,message,201,30.520,backend-3,true
0.002,message,201,33.870,backend-1,true
0.002,message,201,34.170,backend-1,true
0.013,message,201,23.160,backend-1,true
0.001,message,201,34.400,backend-1,true
0.002,message,201,33.900,backend-1,true
0.001,message,201,35.090,backend-1,true
0.012,message,201,23.540,backend-1,true
0.013,message,201,23.210,backend-1,true
0.012,message,201,23.830,backend-1,true
0.002,message,201,34.610,backend-3,true
0.002,message,201,35.000,backend-2,true
0.001,message,201,36.280,backend-2,true
0.001,message,201,36.410,backend-2,true
0.001,message,201,35.890,backend-2,true
0.002,message,201,35.080,backend-2,true
0.012,message,201,24.790,backend-2,true
0.013,message,201,24.310,backend-2,true
0.013,message,201,24.740,backend-2,true
0.012,message,201,24.980,backend-1,true
0.013,message,201,24.530,backend-2,true
0.013,message,201,24.260,backend-1,true
0.002,message,201,35.680,backend-1,true
0.002,message,201,36.470,backend-1,true
0.014,message,201,23.530,backend-2,true
0.001,message,201,36.770,backend-2,true
0.002,message,201,36.020,backend-2,true
0.001,message,201,37.630,backend-1,true
0.015,message,201,24.190,backend-1,true
0.012,message,201,26.490,backend-1,true
0.014,message,201,25.060,backend-1,true
0.014,message,201,25.080,backend-1,true
0.015,message,201,24.250,backend-1,true
0.014,message,201,24.660,backend-3,true
0.013,message,201,25.660,backend-3,true
0.015,message,201,23.750,backend-1,true
0.014,message,201,25.280,backend-1,true
0.015,message,201,24.080,backend-1,true
0.015,message,201,24.620,backend-3,true
0.014,message,201,25.100,backend-3,true
0.014,message,201,25.600,backend-3,true
0.016,message,201,23.040,backend-1,true
0.002,message,201,37.000,backend-3,true
0.014,message,201,25.070,backend-1,true
0.015,message,201,23.830,backend-1,true
0.014,message,201,25.750,backend-3,true
0.015,message,201,24.800,backend-1,true
0.015,message,201,24.720,backend-1,true
0.014,message,201,25.340,backend-3,true
0.013,message,201,25.900,backend-3,true
0.016,message,201,23.730,backend-1,true
0.006,message,201,33.480,backend-3,true
0.013,message,201,26.090,backend-3,true
0.014,message,201,25.500,backend-1,true
0.014,message,201,25.280,backend-1,true
0.015,message,201,24.590,backend-1,true
0.017,message,201,22.720,backend-1,true
0.014,message,201,25.930,backend-3,true
0.015,message,201,24.540,backend-1,true
0.014,message,201,25.460,backend-3,true
0.015,message,201,24.980,backend-1,true
0.017,message,201,22.490,backend-1,true
0.014,message,201,25.680,backend-3,true
0.013,message,201,26.580,backend-3,true
0.014,message,201,25.600,backend-3,true
0.015,message,201,25.390,backend-3,true
0.015,message,201,24.810,backend-1,true
0.015,message,201,24.860,backend-1,true
0.014,message,201,25.680,backend-3,true
0.016,message,201,24.080,backend-3,true
0.004,message,201,36.870,backend-3,true
0.015,message,201,25.810,backend-3,true
0.015,message,201,25.790,backend-3,true
0.015,message,201,25.630,backend-3,true
0.016,message,201,25.190,backend-3,true
0.015,message,201,26.070,backend-3,true
0.016,message,201,25.200,backend-3,true
0.016,message,201,25.120,backend-3,true
0.016,message,201,25.210,backend-3,true
0.015,message,201,25.880,backend-3,true
0.015,message,201,25.940,backend-3,true
0.014,message,201,26.760,backend-3,true
0.018,message,201,23.560,backend-2,true
0.017,message,201,24.760,backend-2,true
0.016,message,201,25.380,backend-2,true
0.021,message,201,21.280,backend-2,true
0.021,message,201,21.060,backend-2,true
0.015,message,201,26.670,backend-2,true
0.014,message,201,28.260,backend-2,true
0.015,message,201,27.180,backend-2,true
0.016,message,201,26.250,backend-2,true
0.016,message,201,26.330,backend-2,true
0.016,message,201,26.230,backend-2,true
0.015,message,201,26.740,backend-2,true
0.016,message,201,26.140,backend-2,true
0.015,message,201,27.550,backend-2,true
0.014,message,201,28.230,backend-2,true
0.016,message,201,26.100,backend-2,true
0.002,message,201,40.660,backend-2,true
0.015,message,201,27.610,backend-2,true
0.002,message,201,40.620,backend-2,true
0.015,message,201,27.510,backend-2,true
0.014,message,201,28.520,backend-2,true
0.014,message,201,27.900,backend-2,true
0.017,message,201,25.670,backend-2,true
0.016,message,201,26.520,backend-2,true
0.017,message,201,25.460,backend-2,true
0.018,message,201,24.500,backend-2,true
0.017,message,201,24.980,backend-2,true
0.021,message,201,21.920,backend-2,true
0.017,message,201,25.040,backend-2,true
0.006,message,201,36.270,backend-2,true
0.018,message,201,24.070,backend-2,true
0.017,message,201,25.850,backend-2,true
0.019,message,201,23.860,backend-2,true
0.020,message,201,22.450,backend-2,true
0.017,message,201,25.780,backend-2,true
0.019,message,201,23.750,backend-1,true
0.007,message,201,35.810,backend-2,true
0.007,message,201,35.710,backend-1,true
0.006,message,201,36.480,backend-2,true
0.008,message,201,34.750,backend-2,true
0.020,message,201,22.620,backend-1,true
0.006,message,201,36.470,backend-1,true
0.022,message,201,21.020,backend-1,true
0.018,message,201,25.400,backend-3,true
0.016,message,201,28.000,backend-3,true
0.006,message,201,37.520,backend-3,true
0.021,message,201,22.880,backend-3,true
0.002,message,201,41.480,backend-3,true
0.021,message,201,22.270,backend-3,true
0.023,message,201,20.800,backend-3,true
0.003,message,201,40.770,backend-3,true
0.003,message,201,40.450,backend-3,true
0.015,message,201,28.400,backend-3,true
0.020,message,201,23.760,backend-3,true
0.027,message,201,19.060,backend-1,true
0.003,message,201,42.700,backend-3,true
0.003,message,201,42.790,backend-1,true
0.025,message,201,21.250,backend-2,true
0.016,message,201,29.630,backend-3,true
0.018,message,201,27.970,backend-3,true
0.025,message,201,20.840,backend-3,true
0.027,message,201,18.880,backend-1,true
0.027,message,201,19.770,backend-3,true
0.026,message,201,20.750,backend-3,true
0.028,message,201,18.850,backend-3,true
0.026,message,201,20.970,backend-3,true
0.028,message,201,18.870,backend-3,true
0.025,message,201,21.120,backend-3,true
0.025,message,201,21.440,backend-1,true
0.023,message,201,23.800,backend-2,true
0.028,message,201,19.080,backend-1,true
0.027,message,201,19.860,backend-1,true
0.026,message,201,21.140,backend-3,true
0.028,message,201,19.400,backend-1,true
0.026,message,201,21.180,backend-1,true
0.008,message,201,39.210,backend-2,true
0.028,message,201,19.820,backend-1,true
0.027,message,201,20.050,backend-1,true
0.003,message,201,44.380,backend-2,true
0.028,message,201,19.710,backend-1,true
0.021,message,201,26.350,backend-2,true
0.022,message,201,25.810,backend-1,true
0.028,message,201,19.790,backend-1,true
0.024,message,201,23.130,backend-1,true
0.013,message,201,34.270,backend-3,true
0.019,message,201,28.490,backend-2,true
0.027,message,201,20.200,backend-3,true
0.027,message,201,20.320,backend-1,true
0.023,message,201,24.490,backend-1,true
0.025,message,201,22.310,backend-1,true
0.025,message,201,22.550,backend-2,true
0.027,message,201,20.460,backend-3,true
0.017,message,201,31.220,backend-2,true
0.021,message,201,26.500,backend-2,true
0.023,message,201,24.430,backend-2,true
0.027,message,201,20.630,backend-1,true
0.028,message,201,19.910,backend-3,true
0.022,message,201,26.120,backend-2,true
0.028,message,201,20.290,backend-3,true
0.026,message,201,21.730,backend-1,true
0.027,message,201,20.350,backend-1,true
0.009,message,201,38.540,backend-2,true
0.023,message,201,24.640,backend-1,true
0.026,message,201,22.900,backend-3,true
0.021,message,201,27.370,backend-1,true
0.034,message,201,14.510,backend-3,true
0.027,message,201,21.580,backend-3,true
0.027,message,201,21.520,backend-1,true
0.024,message,201,24.320,backend-3,true
0.026,message,201,22.460,backend-2,true
0.025,message,201,23.140,backend-3,true
0.023,message,201,25.880,backend-2,true
0.026,message,201,22.930,backend-1,true
0.027,message,201,21.370,backend-3,true
0.025,message,201,23.600,backend-3,true
0.007,message,201,41.890,backend-2,true
0.028,message,201,21.180,backend-1,true
0.002,message,201,46.700,backend-2,true
0.026,message,201,22.750,backend-1,true
0.026,message,201,22.330,backend-3,true
0.025,message,201,23.510,backend-1,true
0.027,message,201,21.570,backend-3,true
0.025,message,201,23.840,backend-3,true
0.027,message,201,21.310,backend-3,true
0.026,message,201,22.610,backend-3,true
0.027,message,201,22.310,backend-3,true
0.027,message,201,21.520,backend-3,true
0.035,message,201,13.670,backend-3,true
0.024,message,201,24.550,backend-1,true
0.024,message,201,25.300,backend-2,true
0.026,message,201,22.720,backend-1,true
0.025,message,201,23.560,backend-2,true
0.027,message,201,22.250,backend-3,true
0.024,message,201,24.570,backend-2,true
0.008,message,201,40.890,backend-2,true
0.002,message,201,46.770,backend-2,true
0.027,message,201,22.090,backend-1,true
0.026,message,201,22.930,backend-2,true
0.027,message,201,21.880,backend-1,true
0.006,message,201,42.600,backend-1,true
0.027,message,201,22.340,backend-3,true
0.002,message,201,47.060,backend-2,true
0.025,message,201,24.100,backend-1,true
0.024,message,201,24.980,backend-3,true
0.028,message,201,21.510,backend-1,true
0.003,message,201,46.350,backend-2,true
0.028,message,201,21.640,backend-1,true
0.026,message,201,23.340,backend-3,true
0.023,message,201,25.860,backend-3,true
0.026,message,201,23.140,backend-1,true
0.009,message,201,40.710,backend-3,true
0.025,message,201,24.550,backend-3,true
0.026,message,201,23.690,backend-3,true
0.008,message,201,40.950,backend-1,true
0.022,message,201,27.670,backend-2,true
0.008,message,201,41.230,backend-3,true
0.002,message,201,47.450,backend-2,true
0.027,message,201,22.210,backend-1,true
0.027,message,201,22.400,backend-3,true
0.021,message,201,28.700,backend-2,true
0.027,message,201,22.390,backend-1,true
0.025,message,201,24.510,backend-1,true
0.026,message,201,24.050,backend-1,true
0.023,message,201,26.600,backend-1,true
0.028,message,201,22.220,backend-3,true
0.025,message,201,25.300,backend-1,true
0.024,message,201,25.470,backend-1,true
0.027,message,201,23.170,backend-1,true
0.024,message,201,26.730,backend-1,true
0.027,message,201,22.810,backend-3,true
0.027,message,201,23.300,backend-1,true
0.028,message,201,23.000,backend-3,true
0.027,message,201,23.940,backend-3,true
0.026,message,201,24.710,backend-3,true
0.027,message,201,23.650,backend-1,true
0.027,message,201,23.440,backend-3,true
0.028,message,201,23.330,backend-3,true
0.025,message,201,26.460,backend-1,true
0.028,message,201,23.460,backend-3,true
0.035,message,201,15.760,backend-2,true
0.040,message,201,11.190,backend-1,true
0.026,message,201,24.900,backend-3,true
0.036,message,201,15.430,backend-2,true
0.027,message,201,23.890,backend-3,true
0.042,message,201,8.840,backend-1,true
0.026,message,201,25.200,backend-3,true
0.026,message,201,25.410,backend-1,true
0.040,message,201,11.200,backend-1,true
0.027,message,201,24.620,backend-3,true
0.035,message,201,15.930,backend-2,true
